model,run,seed,clustering,transitivity,triangles,edges,max_degree,components,edges_lost,hub_degree
swapped,119,448204489,0.1603631447813791,0.11463576158940397,1154,1421,106,1,0,106
swapped,120,2188735077,0.15523594057531045,0.12039735099337748,1212,1421,106,1,0,106
swapped,121,4158584424,0.1638908220630325,0.1213907284768212,1222,1421,106,1,0,106
swapped,122,2028497952,0.1437329681661861,0.11016556291390728,1109,1421,106,1,0,106
swapped,123,3445790302,0.14827891205703822,0.11334437086092715,1141,1421,106,1,0,106
swapped,124,53310203,0.1637578500951574,0.12218543046357616,1230,1421,106,1,0,106
swapped,125,3451431018,0.15125879583596782,0.11870860927152319,1195,1421,106,1,0,106
swapped,126,1773108316,0.15772404066591286,0.12556291390728477,1264,1421,106,1,0,106
swapped,127,1752920044,0.17263969940401902,0.1247682119205298,1256,1421,106,1,0,106
swapped,128,3872836233,0.16084583910772174,0.11850993377483443,1193,1421,106,1,0,106
swapped,129,928622302,0.15262679997857775,0.11543046357615894,1162,1421,106,1,0,106
swapped,130,2968775203,0.14481328074606553,0.11403973509933775,1148,1421,106,1,0,106
swapped,131,3718540385,0.1424587917606273,0.11920529801324503,1200,1421,106,1,0,106
swapped,132,1794043183,0.16839367423066676,0.12109271523178808,1219,1421,106,1,0,106
swapped,133,325803643,0.16044501105295314,0.11612582781456954,1169,1421,106,1,0,106
swapped,134,1974448073,0.16525637170949298,0.11682119205298014,1176,1421,106,1,0,106
swapped,135,3674765425,0.1609591880117753,0.11016556291390728,1109,1421,106,1,0,106
swapped,136,2678826112,0.1556154239163923,0.11870860927152319,1195,1421,106,1,0,106
