node,character,degree,betweenness_real,betweenness_null_mean,betweenness_null_sd,betweenness_z,harmonic_real,harmonic_null_mean,harmonic_null_sd,harmonic_z,betweenness_surprise_rank
66,Doom_2099,9,0.0022213584920997916,0.0025987321160606974,0.002590001885995607,-0.14570399581614277,119.91666666666647,118.69474999999979,5.410507018925568,0.22584143452591582,128
204,Scarlet_Scarab,2,8.379261047245237e-05,0.0002925190655194411,0.001429679664658603,-0.14599526048153663,96.44999999999982,96.40974999999985,8.157798876948947,0.004933928944203831,129
111,Hulkling,11,0.003255372824995988,0.0036416946710875627,0.0025561223243860415,-0.15113589925097415,121.33333333333313,121.9519999999998,4.4466185372044915,-0.13913194070737944,130
167,Noh-Varr,18,0.008870432324370608,0.009424948441022606,0.0036686864771715262,-0.15114840695777249,134.2499999999999,131.6785833333332,3.03017321054918,0.8486038546293717,131
59,Devil_Hulk,2,1.15244590366655e-05,9.256556628638948e-05,0.000520790701435945,-0.15561166323875253,104.08333333333309,96.86074999999984,7.7326240970151305,0.9340404037125296,132
259,Ursa_Major_(character),4,0.0003491185396362364,0.0005044590044684486,0.0009690490000580031,-0.16030197113140218,111.16666666666642,106.37424999999979,6.824352229645776,0.7022522439342759,133
46,Coldblood,2,5.698355414801539e-05,0.0002402865894573841,0.0011282430281152462,-0.16246768713969392,92.39999999999989,96.1228809523808,8.171655615759185,-0.45558466086129007,134
269,Wild_Child_(character),3,0.0003008236984393965,0.0005913495947102471,0.0017043092759234572,-0.17046547852263083,101.61666666666645,102.26608333333313,7.295536327105179,-0.08901561688534086,135
175,Peggy_Carter,3,0.00017282099102756596,0.00031528538765072576,0.0008197364201535553,-0.17379293285087047,90.16666666666663,102.28433333333314,6.999429991947323,-1.7312362121783624,136
148,Magician_(Marvel_Comics),3,0.00011005997295139691,0.0003531536018574695,0.0013405008479427283,-0.18134537496126862,97.23333333333315,102.86266666666647,7.910670697720373,-0.7116126493491295,137
